dataset,metric,comparison_key,n_paired_recomputed,raw_p,wilcoxon_p,n_paired_frozen,abs_p_diff,n_match
CVC-ColonDB,iou,abloss->both,380,0.00155912706,0.00155912706,380,8.283304598e-17,True
CVC-ColonDB,iou,baseline->abloss,380,0.0007562012074,0.0007562012074,380,1.246832498e-17,True
CVC-ColonDB,iou,baseline->both,380,0.0006725234569,0.0006725234569,380,2.949029909e-17,True
CVC-ColonDB,iou,baseline->usr,380,0.004204315053,0.004204315053,380,2.428612866e-17,True
CVC-ColonDB,iou,usr->both,380,0.01228092247,0.01228092247,380,6.938893904e-18,True
CVC-ColonDB,precision,abloss->both,380,2.164997118e-09,2.164997118e-09,380,0,True
CVC-ColonDB,precision,baseline->abloss,380,0.000113601135,0.000113601135,380,8.543513119e-17,True
CVC-ColonDB,precision,baseline->both,380,4.641810412e-06,4.641810412e-06,380,0,True
CVC-ColonDB,precision,baseline->usr,380,1.620756322e-06,1.620756322e-06,380,0,True
CVC-ColonDB,precision,usr->both,380,0.001560073104,0.001560073104,380,3.07913417e-17,True
CVC-ColonDB,recall,abloss->both,380,0.0001893959609,0.0001897113824,380,3.154215388e-07,True
CVC-ColonDB,recall,baseline->abloss,380,0.04759560613,0.04759560613,380,1.387778781e-17,True
CVC-ColonDB,recall,baseline->both,380,0.02034398233,0.02034398233,380,8.326672685e-17,True
CVC-ColonDB,recall,baseline->usr,380,0.0005876809906,0.0005867724193,380,9.085712388e-07,True
CVC-ColonDB,recall,usr->both,380,0.06013745309,0.06013745309,380,8.326672685e-17,True
ETIS-LaribPolypDB,assd,abloss->both,196,0.1354919869,0.1354919869,196,5.551115123e-17,True
ETIS-LaribPolypDB,assd,baseline->abloss,196,0.9759212707,0.9759212707,196,0,True
ETIS-LaribPolypDB,assd,baseline->both,196,0.8572788496,0.8572788496,196,0,True
ETIS-LaribPolypDB,assd,baseline->usr,196,0.04705816655,0.04705816655,196,2.775557562e-17,True
ETIS-LaribPolypDB,assd,usr->both,196,0.8277660004,0.8277660004,196,0,True
ETIS-LaribPolypDB,boundary_dice,abloss->both,196,9.376720266e-19,9.376720266e-19,196,0,True
ETIS-LaribPolypDB,boundary_dice,baseline->abloss,196,0.1531778979,0.1531778979,196,8.326672685e-17,True
ETIS-LaribPolypDB,boundary_dice,baseline->both,196,4.863302254e-05,4.863302254e-05,196,6.776263578e-21,True
ETIS-LaribPolypDB,boundary_dice,baseline->usr,196,6.454348733e-11,6.454348733e-11,196,0,True
ETIS-LaribPolypDB,boundary_dice,usr->both,196,0.01142294321,0.01142294321,196,1.387778781e-17,True
ETIS-LaribPolypDB,dice,abloss->both,196,6.993772515e-12,6.993772515e-12,196,8.077935669e-28,True
ETIS-LaribPolypDB,dice,baseline->abloss,196,1.345260856e-05,1.345260856e-05,196,1.694065895e-21,True
ETIS-LaribPolypDB,dice,baseline->both,196,5.287701902e-09,5.287701902e-09,196,0,True
ETIS-LaribPolypDB,dice,baseline->usr,196,1.265064259e-09,1.265064259e-09,196,0,True
ETIS-LaribPolypDB,dice,usr->both,196,2.330464045e-05,2.330464045e-05,196,0,True
ETIS-LaribPolypDB,hd95,abloss->both,196,0.03918310699,0.03918310699,196,0,True
ETIS-LaribPolypDB,hd95,baseline->abloss,196,0.4312937804,0.4312937804,196,0,True
ETIS-LaribPolypDB,hd95,baseline->both,196,0.1203858055,0.1203858055,196,8.326672685e-17,True
ETIS-LaribPolypDB,hd95,baseline->usr,196,0.0006499998732,0.0006499998732,196,5.52943108e-18,True
ETIS-LaribPolypDB,hd95,usr->both,196,0.3430058752,0.3430058752,196,0,True
ETIS-LaribPolypDB,iou,abloss->both,196,1.176956561e-12,1.176956561e-12,196,2.019483917e-28,True
ETIS-LaribPolypDB,iou,baseline->abloss,196,9.675793598e-06,9.675793598e-06,196,0,True
ETIS-LaribPolypDB,iou,baseline->both,196,2.098062311e-09,2.098062311e-09,196,4.135903063e-25,True
ETIS-LaribPolypDB,iou,baseline->usr,196,2.105001383e-10,2.105001383e-10,196,2.584939414e-26,True
ETIS-LaribPolypDB,iou,usr->both,196,1.441000739e-05,1.441000739e-05,196,0,True
ETIS-LaribPolypDB,precision,abloss->both,196,1.085151085e-24,1.085151085e-24,196,1.836709923e-40,True
ETIS-LaribPolypDB,precision,baseline->abloss,196,5.081957296e-06,5.081957296e-06,196,0,True
ETIS-LaribPolypDB,precision,baseline->both,196,2.373916044e-09,2.373916044e-09,196,0,True
ETIS-LaribPolypDB,precision,baseline->usr,196,8.203215808e-20,8.203215808e-20,196,0,True
ETIS-LaribPolypDB,precision,usr->both,196,6.565862789e-06,6.565862789e-06,196,0,True
ETIS-LaribPolypDB,recall,abloss->both,196,2.55552815e-11,2.55552815e-11,196,0,True
ETIS-LaribPolypDB,recall,baseline->abloss,196,0.1196899242,0.1196899242,196,1.387778781e-17,True
ETIS-LaribPolypDB,recall,baseline->both,196,0.6004703402,0.6004703402,196,0,True
ETIS-LaribPolypDB,recall,baseline->usr,196,2.890873742e-11,2.890873742e-11,196,3.231174268e-27,True
ETIS-LaribPolypDB,recall,usr->both,196,0.2488693881,0.2488693881,196,0,True
Kvasir,assd,abloss->both,100,6.881249881e-06,6.881249881e-06,100,0,True
Kvasir,assd,baseline->abloss,100,0.04882002073,0.04882002073,100,4.163336342e-17,True
Kvasir,assd,baseline->both,100,0.4473324208,0.4473324208,100,0,True
