family,dataset,metric,direction,first,second,comparison,n_paired,mean_paired_diff_second_minus_first,median_paired_diff_second_minus_first,raw_p,bh_q,raw_sig,bh_sig,bh_q_lt_0.001,bh_q_lt_0.01,bh_q_lt_0.05
all7,CVC-ClinicDB,boundary_dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,62,0.002177335569,0.001231503407,0.1068459749,0.1747480898,False,False,False,False,False
all7,CVC-ClinicDB,boundary_dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,62,0.004082516551,0.001749197996,0.01181345401,0.02584193065,True,True,False,False,True
all7,CVC-ClinicDB,boundary_dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,62,-0.008491958659,0.001202650342,0.8886093248,0.9142242699,False,False,False,False,False
all7,CVC-ClinicDB,dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,62,0.01358925679,9.637550277e-13,0.3421120472,0.4413678541,False,False,False,False,False
all7,CVC-ClinicDB,dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,62,0.01394966391,0.0005091331923,0.2787148702,0.3810554866,False,False,False,False,False
all7,CVC-ClinicDB,dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,62,0.0003184218765,0.0002479584135,0.410052589,0.5162532595,False,False,False,False,False
all7,CVC-ClinicDB,dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,62,0.0003604071135,0.000436241038,0.1910208499,0.2762698242,False,False,False,False,False
all7,CVC-ClinicDB,dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,62,0.01363124203,2.492461316e-13,0.2545783078,0.3507968809,False,False,False,False,False
all7,CVC-ClinicDB,hd95,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,62,-1.118221354,0.2409465261,0.968487555,0.9740535754,False,False,False,False,False
all7,CVC-ClinicDB,hd95,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,62,-0.6812985497,0.2974952153,0.830947528,0.8813079842,False,False,False,False,False
all7,CVC-ClinicDB,hd95,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,62,0.2094304827,0,0.4774936284,0.5723382533,False,False,False,False,False
all7,CVC-ClinicDB,hd95,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,62,0.4369228041,0,0.40119089,0.5087565635,False,False,False,False,False
all7,CVC-ClinicDB,hd95,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,62,-0.8907290324,0.2718178889,0.586883224,0.6669127546,False,False,False,False,False
all7,CVC-ClinicDB,iou,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,62,0.01342786823,9.637550277e-13,0.4261734078,0.5278070739,False,False,False,False,False
all7,CVC-ClinicDB,iou,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,62,0.01430923266,0.0005258713868,0.3421120472,0.4413678541,False,False,False,False,False
all7,CVC-ClinicDB,iou,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,62,0.0003217452019,0.0004110175726,0.4180672373,0.5225840466,False,False,False,False,False
all7,CVC-ClinicDB,iou,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,62,0.0008813644341,0.0007084883829,0.1536509949,0.2259573454,False,False,False,False,False
all7,CVC-ClinicDB,iou,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,62,0.01398748746,2.492461316e-13,0.3280522182,0.4316476556,False,False,False,False,False
all7,CVC-ClinicDB,precision,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,62,0.01525257787,-0.007109103029,0.6561729567,0.7267738444,False,False,False,False,False
all7,CVC-ClinicDB,precision,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,62,0.01622584407,-0.005069979327,0.7338286304,0.7927161131,False,False,False,False,False
all7,CVC-ClinicDB,precision,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,62,0.00231743908,0.0005752310154,0.08408552291,0.1414900626,False,False,False,False,False
all7,CVC-ClinicDB,precision,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,62,0.0009732662041,0.001193969873,0.001874608042,0.005560278091,True,True,False,True,True
all7,CVC-ClinicDB,precision,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,62,0.01390840499,-0.006199503519,0.6971914057,0.7625531,False,False,False,False,False
all7,CVC-ClinicDB,recall,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,62,0.004187821495,0.002780874063,0.001022030593,0.003251915525,True,True,False,True,True
all7,CVC-ClinicDB,recall,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,62,0.003538184594,0.002454025117,0.005693659848,0.01423414962,True,True,False,False,True
all7,CVC-ClinicDB,recall,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,62,-0.00163933646,0,0.2149643286,0.3083504713,False,False,False,False,False
all7,CVC-ClinicDB,recall,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,62,-0.0006496369006,0,0.01741349058,0.03671519098,True,True,False,False,True
all7,CVC-ClinicDB,recall,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,62,0.005177521054,0.002922436954,0.001022030593,0.003251915525,True,True,False,True,True
all7,CVC-ColonDB,assd,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,380,0.3424535233,-0.104843404,0.4859160198,0.5784714521,False,False,False,False,False
all7,CVC-ColonDB,assd,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,380,0.3934822753,-0.1531527436,0.6191469034,0.6923178194,False,False,False,False,False
all7,CVC-ColonDB,assd,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,380,-0.07348507676,-0.02463285551,0.1250006738,0.1988647083,False,False,False,False,False
all7,CVC-ColonDB,assd,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,380,0.05102875195,-0.0276852927,0.4953135721,0.5856748319,False,False,False,False,False
all7,CVC-ColonDB,assd,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,380,0.466967352,-0.01178049444,0.2253035203,0.319480907,False,False,False,False,False
all7,CVC-ColonDB,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,380,0.004813114878,3.864064525e-13,0.1347509896,0.2117062295,False,False,False,False,False
all7,CVC-ColonDB,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,380,0.007776708546,8.103269843e-13,0.02525569817,0.05022439977,True,False,False,False,False
all7,CVC-ColonDB,boundary_dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,380,0.003021850192,0.0001512887316,7.441291966e-08,5.661852583e-07,True,True,True,True,True
